Time,Predicted,Actual,Difference
2011-01-01 15:00:00,159.751888888889,110,49.7518888888889
2011-01-01 16:00:00,185.202944444444,93,92.2029444444444
2011-01-01 17:00:00,153.580555555555,67,86.5805555555555
2011-01-01 21:00:00,90.9261666666667,34,56.9261666666667
2011-01-02 00:00:00,82.3757222222222,17,65.3757222222222
2011-01-02 02:00:00,42.0282222222222,9,33.0282222222222
2011-01-02 04:00:00,11.7978888888889,3,8.79788888888888
2011-01-02 10:00:00,99.2568333333333,53,46.2568333333333
2011-01-02 11:00:00,137.511277777778,70,67.5112777777779
2011-01-03 15:00:00,105.891444444444,72,33.8914444444445
2011-01-04 01:00:00,4.39861111111111,2,2.39861111111111
2011-01-04 02:00:00,2.849,1,1.849
2011-01-04 05:00:00,9.81788888888889,4,5.81788888888889
2011-01-04 08:00:00,260.778944444444,179,81.7789444444443
2011-01-04 17:00:00,216.547611111111,212,4.54761111111117
2011-01-05 06:00:00,57.3071111111111,33,24.3071111111111
2011-01-05 08:00:00,263.486333333333,195,68.4863333333333
2011-01-05 09:00:00,163.526333333333,115,48.5263333333334
2011-01-05 12:00:00,127.566111111111,79,48.5661111111111
2011-01-05 18:00:00,228.804833333333,169,59.8048333333333
2011-01-05 21:00:00,63.7691666666667,43,20.7691666666667
2011-01-05 23:00:00,42.614,19,23.614
2011-01-06 00:00:00,15.5688095238095,11,4.56880952380951
2011-01-06 07:00:00,174.918111111111,95,79.9181111111111
2011-01-06 10:00:00,84.1206666666667,45,39.1206666666667
2011-01-07 04:00:00,2.56977777777778,1,1.56977777777778
2011-01-07 05:00:00,15.1098888888889,5,10.1098888888889
2011-01-07 06:00:00,57.4530555555556,34,23.4530555555556
2011-01-07 08:00:00,317.243055555556,210,107.243055555556
2011-01-07 09:00:00,150.869833333333,134,16.8698333333333
2011-01-07 10:00:00,70.4725,63,7.47250000000001
2011-01-07 14:00:00,63.6702222222222,50,13.6702222222222
2011-01-07 17:00:00,199.466833333333,187,12.4668333333333
2011-01-08 05:00:00,2.59322222222222,5,2.40677777777778
2011-01-08 07:00:00,36.9778333333333,9,27.9778333333333
2011-01-08 08:00:00,30.0331111111111,15,15.0331111111111
2011-01-08 19:00:00,80.6994444444445,30,50.6994444444445
2011-01-08 22:00:00,45.6721666666666,34,11.6721666666666
2011-01-09 01:00:00,33.6605555555556,12,21.6605555555556
2011-01-09 05:00:00,2.48572222222222,1,1.48572222222222
2011-01-09 10:00:00,94.1865,49,45.1865
2011-01-09 11:00:00,127.224333333333,49,78.2243333333333
2011-01-09 17:00:00,90.4818333333334,62,28.4818333333334
2011-01-09 18:00:00,85.8735555555556,48,37.8735555555556
2011-01-09 23:00:00,22.3055,6,16.3055
2011-01-10 01:00:00,3.98894444444444,1,2.98894444444444
2011-01-10 04:00:00,1.92883333333334,3,1.07116666666666
2011-01-10 05:00:00,11.4669444444444,3,8.46694444444445
2011-01-10 06:00:00,51.2001111111111,31,20.2001111111111
2011-01-10 18:00:00,163.275722222222,155,8.27572222222219
2011-01-10 19:00:00,101.733333333333,95,6.73333333333332
2011-01-11 05:00:00,10.6544444444444,6,4.65444444444445
2011-01-12 15:00:00,68.4766666666667,49,19.4766666666667
2011-01-12 23:00:00,32.6257222222222,20,12.6257222222222
2011-01-13 00:00:00,12.9879761904762,7,5.98797619047619
2011-01-13 02:00:00,2.81755555555555,2,0.817555555555555
2011-01-13 06:00:00,54.2539444444445,28,26.2539444444445
2011-01-13 19:00:00,100.878944444444,99,1.87894444444449
2011-01-13 21:00:00,58.2525555555556,40,18.2525555555556
2011-01-13 22:00:00,46.2138333333333,30,16.2138333333333
2011-01-13 23:00:00,38.2486666666667,15,23.2486666666667
2011-01-14 05:00:00,10.7612222222222,8,2.76122222222223
2011-01-14 06:00:00,48.2407777777778,17,31.2407777777778
2011-01-14 07:00:00,97.6876666666667,70,27.6876666666667
2011-01-14 08:00:00,276.128166666666,158,118.128166666666
2011-01-14 16:00:00,100.617777777778,90,10.6177777777778
2011-01-15 00:00:00,31.6421666666666,28,3.64216666666664
