datetime,count
2011-01-01 03:00:00,16.8285714285714
2011-01-01 04:00:00,5.96969696969697
2011-01-01 10:00:00,177.722222222222
2011-01-01 16:00:00,129.428571428571
2011-01-01 19:00:00,87.8
2011-01-01 21:00:00,56.5555555555556
2011-01-01 22:00:00,67.875
2011-01-02 18:00:00,87.8
2011-01-02 21:00:00,71.15
2011-01-02 22:00:00,31.8125
2011-01-03 12:00:00,80.64
2011-01-03 19:00:00,155.733333333333
2011-01-03 22:00:00,31.5
2011-01-03 23:00:00,33.9166666666667
2011-01-04 01:00:00,4.88235294117647
2011-01-04 07:00:00,139.333333333333
2011-01-04 10:00:00,35
2011-01-04 17:00:00,205.7
2011-01-04 19:00:00,155.733333333333
2011-01-05 07:00:00,139.333333333333
2011-01-05 10:00:00,59.6410256410256
2011-01-05 16:00:00,130.666666666667
2011-01-05 17:00:00,162.631578947368
2011-01-05 19:00:00,155.733333333333
2011-01-06 02:00:00,2.2
2011-01-06 05:00:00,9.325
2011-01-06 09:00:00,228.125
2011-01-06 17:00:00,162.631578947368
2011-01-06 19:00:00,155.733333333333
2011-01-07 08:00:00,342.5
2011-01-07 09:00:00,121
2011-01-07 16:00:00,77.7692307692308
2011-01-08 00:00:00,37.4666666666667
2011-01-08 01:00:00,26.75
2011-01-08 09:00:00,94.5
2011-01-08 12:00:00,45
2011-01-08 13:00:00,155.833333333333
2011-01-09 02:00:00,36.1428571428571
2011-01-09 05:00:00,3.6
2011-01-09 06:00:00,4.3
2011-01-09 09:00:00,94.5
2011-01-09 11:00:00,123.6
2011-01-09 14:00:00,155.833333333333
2011-01-09 15:00:00,155.833333333333
2011-01-09 23:00:00,31.8125
2011-01-10 02:00:00,2.2
2011-01-10 04:00:00,1.29411764705882
2011-01-10 14:00:00,53.4210526315789
2011-01-10 20:00:00,72.2105263157895
2011-01-11 05:00:00,9.325
2011-01-11 07:00:00,151.444444444444
2011-01-11 08:00:00,308.5
2011-01-11 17:00:00,162.631578947368
2011-01-11 18:00:00,162.631578947368
2011-01-11 21:00:00,77.7142857142857
2011-01-12 02:00:00,2.2
2011-01-12 07:00:00,139.333333333333
